id,title,context,question,is_impossible,answer,answer_start
56d43c5f2ccc5a1400d830aa,بیونسے,بیونس جیزل نولز کارٹر (/biː'j ⁇ nseɪ/ bee-YON-say) (پیدائش 4 ستمبر 1981) ایک امریکی گلوکارہ ، گانا لکھنے والی ، ریکارڈ پروڈیوسر اور اداکارہ ہیں۔ ہیوسٹن ، ٹیکساس میں پیدا ہوئی اور پرورش پائی ، اس نے بچپن میں مختلف گانے اور رقص کے مقابلوں میں پرفارم کیا ، اور 1990 کی دہائی کے آخر میں آر اینڈ بی گرل گروپ ڈسٹنی چائلڈ کے لیڈ گلوکار کی حیثیت سے شہرت حاصل کی۔ اس کے والد ، میتھیو نولز کے زیر انتظام ، گروپ دنیا کے سب سے زیادہ فروخت ہونے والے گرل گروپس میں سے ایک بن گیا۔ ان کے وقفے نے بیونس کی پہلی البم ، خطرناک طور پر محبت (2003) کی رہائی دیکھی ، جس نے اسے دنیا بھر میں ایک سولو آرٹسٹ کے طور پر قائم کیا ، پانچ گریمی ایوارڈز حاصل کیے اور بل بورڈ ہاٹ 100 نمبر ون سنگلز میں پاگل محبت اور بیبی بوائے۔,ڈسٹنی چائلڈ میں بیونسے کا کیا کردار تھا؟,False,لیڈ گلوکار,318
56bf6e823aeaaa14008c9629,بیونسے,جون 2005 میں ڈسٹنی چائلڈ کے تحلیل کے بعد ، اس نے اپنا دوسرا سولو البم ، بی ڈے (2006) جاری کیا ، جس میں ہٹ ڈیجا وو ، ناقابل تلافی ، اور خوبصورت جھوٹا شامل تھے۔ بیونس نے اداکاری میں بھی قدم رکھا ، جس میں گولڈن گلوب نامزد کارکردگی کے ساتھ ڈریم گرلز (2006) ، اور گلابی پینتھر (2006) اور جنونی (2009) میں مرکزی کردار ادا کیا۔ ریپر جے زی کے ساتھ اس کی شادی اور کیڈیلک ریکارڈز میں ایٹا جیمز کی تصویر کشی (2008) نے اس کے تیسرے البم ، آئی ایم... ساشا فیئرس (2008) کو متاثر کیا ، جس نے اس کے الٹر ایگو ساشا فیئرس کی پیدائش دیکھی اور 2010 میں ریکارڈ قائم کرنے والے چھ گریمی ایوارڈز حاصل کیے۔ بیونسے نے 2010 میں موسیقی سے وقفہ لیا اور اپنے کیریئر کا انتظام سنبھال لیا۔ اس کا چوتھا البم 4 (2011) بعد میں نرم تھا ، جس میں 1970 کی دہائی کے فنک ، 1980 کی دہائی کے پاپ ، اور 1990 کی دہائی کے روح کی کھوج کی گئی۔ اس کا تنقیدی طور پر سراہا گیا پانچواں اسٹوڈیو البم ، بیونسے (2013) ، اس کی تجرباتی پیداوار اور تاریک موضوعات کی کھوج سے پچھلے ریلیز سے ممتاز تھا۔,بیونس نے اپنے کیریئر میں کب وقفہ لیا اور اپنے مینجمنٹ کا کنٹرول سنبھال لیا؟,False,2010,523
56d43f7e2ccc5a1400d830cb,بیونسے,ایک خود بیان کردہ جدید دور کی حقوق نسواں ، بیونسے ایسے گانے تخلیق کرتی ہے جو اکثر محبت ، تعلقات اور یکجہتی کے موضوعات کے ساتھ ساتھ خواتین کی جنسیت اور بااختیار بنانے کی خصوصیت رکھتے ہیں۔ اسٹیج پر ، اس کی متحرک ، انتہائی کوریوگرافڈ پرفارمنس نے ناقدین کو معاصر مقبول موسیقی میں بہترین تفریحی فنکاروں میں سے ایک کے طور پر سراہا ہے۔ 19 سالوں کے کیریئر کے دوران ، اس نے ایک سولو آرٹسٹ کے طور پر 118 ملین سے زیادہ ریکارڈ فروخت کیے ہیں ، اور مزید 60 ملین ڈسٹنی چائلڈ کے ساتھ ، اسے ہر وقت کے سب سے زیادہ فروخت ہونے والے میوزک فنکاروں میں سے ایک بنا دیا ہے۔ اس نے 20 گریمی ایوارڈز جیت لئے ہیں اور ایوارڈ کی تاریخ میں سب سے زیادہ نامزد خاتون ہیں۔ ریکارڈنگ انڈسٹری ایسوسی ایشن آف امریکہ نے اسے 2000 کی دہائی کے دوران امریکہ میں ٹاپ سرٹیفائیڈ آرٹسٹ کے طور پر تسلیم کیا۔ 2009 میں ، بل بورڈ نے اسے دہائی کا ٹاپ ریڈیو گانوں کا آرٹسٹ ، 2000 کی دہائی کا ٹاپ خواتین آرٹسٹ اور 2011 میں ان کا آرٹسٹ آف دی ملینیم قرار دیا۔ ٹائم نے اسے 2013 اور 2014 میں دنیا کے 100 سب سے بااثر لوگوں میں شامل کیا۔ فوربس میگزین نے اسے 2015 کی سب سے طاقتور خاتون موسیقار کے طور پر بھی درج کیا۔,کس میگزین نے بیونسے کو 2015 کی سب سے طاقتور خاتون موسیقار قرار دیا؟,False,فوربس,976
56be8a583aeaaa14008c9097,بیونسے,بیونسی نے فریڈرکسبرگ ، ٹیکساس میں سینٹ مریم ایلیمنٹری اسکول میں تعلیم حاصل کی ، جہاں اس نے رقص کی کلاسوں میں داخلہ لیا۔ اس کی گانے کی صلاحیت اس وقت دریافت ہوئی جب ڈانس انسٹرکٹر ڈارلیٹ جانسن نے ایک گانا گانا شروع کیا اور اس نے اسے مکمل کیا ، اعلی نوٹوں کو مارنے کے قابل۔ بیونسی کی موسیقی اور پرفارمنس میں دلچسپی سات سال کی عمر میں اسکول ٹیلنٹ شو جیتنے کے بعد جاری رہی ، جان لینن کے تصور کو 15/16 سال کے بچوں کو شکست دینے کے لئے گاتے ہوئے۔ 1990 کے موسم خزاں میں ، بیونسی نے پارکر ایلیمنٹری اسکول ، ہیوسٹن میں ایک میوزک مقناطیس اسکول میں داخلہ لیا ، جہاں وہ اسکول کے کور کے ساتھ پرفارم کرے گی۔ اس نے ہائی اسکول فار پرفارمنگ اینڈ ویژول آرٹس اور بعد میں علیف ایلسیک ہائی اسکول میں بھی تعلیم حاصل کی۔ بیونسی دو سال تک سولوسٹ کے طور پر سینٹ جان یونائیٹڈ میتھوڈسٹ چرچ میں کور کا ممبر بھی تھی۔,بیونسے اپنے پہلے پرائمری اسکول کو چھوڑنے کے بعد کس شہر میں منتقل ہوگئی؟,False,ہیوسٹن,496
56d45abf2ccc5a1400d830e6,بیونسے,آٹھ سال کی عمر میں ، بیونسی اور بچپن کی دوست کیلی رولینڈ نے ایک تمام لڑکیوں کے تفریحی گروپ کے لئے آڈیشن کے دوران لاٹاویا روبرسن سے ملاقات کی۔ انہیں تین دیگر لڑکیوں کے ساتھ گرل ٹائم کے طور پر ایک گروپ میں رکھا گیا تھا ، اور ہیوسٹن میں ٹیلنٹ شو سرکٹ پر ریپ اور رقص کیا۔ گروپ کو دیکھنے کے بعد ، آر اینڈ بی پروڈیوسر آرنی فریگر نے انہیں اپنے شمالی کیلیفورنیا کے اسٹوڈیو میں لایا اور انہیں اس وقت قومی ٹی وی پر سب سے بڑے ٹیلنٹ شو ، اسٹار سرچ میں رکھا۔ گرل ٹائم جیتنے میں ناکام رہی ، اور بیونسی نے بعد میں کہا کہ انہوں نے جو گانا پیش کیا وہ اچھا نہیں تھا۔ 1995 میں بیونسے کے والد نے گروپ کا انتظام کرنے کے لئے اپنی نوکری سے استعفیٰ دے دیا۔ اس اقدام نے بیونسے کے خاندان کی آمدنی کو آدھے سے کم کردیا ، اور اس کے والدین کو الگ الگ اپارٹمنٹس میں منتقل ہونے پر مجبور کیا گیا۔ میتھیو نے اصل لائن اپ کو چار میں کاٹ دیا اور گروپ نے دوسرے قائم شدہ آر اینڈ بی گرل گروپس کے لئے اوپننگ ایکٹ کے طور پر پرفارم کرنا جاری رکھا۔ لڑکیوں نے ریکارڈ لیبلز کے سامنے آڈیشن کیا اور آخر کار الیکٹرا ریکارڈز کے ساتھ معاہدہ کیا ، اپنی پہلی ریکارڈنگ پر کام کرنے کے لئے مختصر طور پر اٹلانٹا ریکارڈز میں منتقل ہوگئے ، صرف کمپنی کے ذریعہ کٹ گئے۔ اس نے خاندان پر مزید دباؤ ڈالا ، اور بیونسے کے والدین الگ ہوگئے۔ 5 اکتوبر 1995 کو ، ڈوین ویگنس کے گراس روٹس انٹرٹینمنٹ نے گروپ کو دستخط کیا۔ 1996 میں ، لڑکیوں نے سونی میوزک کے ساتھ معاہدے کے تحت اپنا پہلا البم ریکارڈ کرنا شروع کیا۔,پہلے گروپ کا نام کیا تھا جس کا بیونسی حصہ تھا؟,False,گرل ٹائم,172
56d45fcb2ccc5a1400d830fd,بیونسے,کتاب اشعیا کے ایک حصے کی بنیاد پر 1996 میں اس گروپ نے اپنا نام تبدیل کرکے ڈسٹنی چائلڈ کردیا۔ 1997 میں ، ڈسٹنی چائلڈ نے 1997 کی فلم ، مین ان بلیک کے ساؤنڈ ٹریک پر اپنا میجر لیبل ڈیبیو گانا کلنگ ٹائم جاری کیا۔ اگلے سال ، اس گروپ نے اپنا خود ساختہ ڈیبیو البم جاری کیا ، جس نے اپنی پہلی بڑی ہٹ نمبر ، نمبر ، نمبر حاصل کی۔ اس البم نے گروپ کو میوزک انڈسٹری میں ایک قابل عمل عمل کے طور پر قائم کیا ، اعتدال پسند فروخت کے ساتھ اور گروپ کو سال کے بہترین آر اینڈ بی / سول البم ، بہترین آر اینڈ بی / سول یا ریپ نیو آرٹسٹ ، اور بہترین آر اینڈ بی / سول سنگل کے لئے تین سول ٹرین لیڈی آف سول ایوارڈز جیتے۔ اس ریکارڈ میں گروپ کے کچھ سب سے زیادہ مشہور گانوں جیسے بلز ، بلز ، بلز ، بلز ، گروپ کا پہلا نمبر ون سنگل ، جمپن 'جمپن' اور سی مائی نیم شامل ہیں ، جو اس وقت ان کا سب سے کامیاب گانا بن گیا ، اور ان کے دستخطی گانوں میں سے ایک رہے گا۔ سی مائی نیم نے 43 ویں سالانہ گریمی ایوارڈز میں ایک جوڑی یا گروپ کے ذریعہ بہترین آر اینڈ بی پرفارمنس اور بہترین آر اینڈ بی گانا جیتا۔ دی لکھنا دیوار پر دنیا بھر میں آٹھ ملین سے زیادہ کاپیاں فروخت کیں۔ اس وقت کے دوران ، بیونس نے 1999 کی فلم ، دی بیسٹ مین کے ساؤنڈ ٹریک کے لئے مارک نیلسن ، بوائز II مین کے اصل ممبر کے ساتھ گانا آفٹر آل ایس کہا اور کیا پر ڈیوٹ ریکارڈ کیا۔,"بیونسی نے ""دی بیسٹ مین"" فلم کے لیے کس کے ساتھ ڈوئٹ گایا؟",False,مارک نیلسن,1096
56be8e353aeaaa14008c90c6,بیونسے,"باقی بینڈ کے ممبروں نے انڈپینڈنٹ ویمن پارٹ I ریکارڈ کیا ، جو 2000 کی فلم ، چارلی کے فرشتوں کے ساؤنڈ ٹریک پر نمودار ہوا۔ یہ ان کا بہترین چارٹنگ سنگل بن گیا ، جو مسلسل گیارہ ہفتوں تک امریکی بل بورڈ ہاٹ 100 چارٹ میں سرفہرست رہا۔ 2001 کے اوائل میں ، جب ڈسٹنی چائلڈ اپنا تیسرا البم مکمل کر رہا تھا ، بیونسے نے ایم ٹی وی کے لئے بنائی گئی ٹیلی ویژن فلم ، کارمین: اے ہپ ہوپرا میں ایک اہم کردار ادا کیا ، جس میں امریکی اداکار میکھی فیفر نے اداکاری کی۔ فلاڈیلفیا میں قائم ، یہ فلم فرانسیسی موسیقار جارج بیزٹ کے 19 ویں صدی کے اوپیرا کارمین کی ایک جدید تشریح ہے۔ جب تیسرا البم زندہ بچ جانے والا مئی 2001 میں جاری کیا گیا تو ، لکٹ اور روبرسن نے دعویٰ کیا کہ گانے ان کا مقصد تھے۔ اس البم نے پہلے ہفتے میں 663,000 کاپیاں فروخت کرکے امریکی بل بورڈ 200 پر پہلے نمبر پر ڈیبیو کیا۔ اس البم نے دیگر نمبر ون ہٹ ، بوٹیلیشس اور ٹائٹل ٹریک ، زندہ بچ جانے والے کو جنم دیا ، جس میں سے مؤخر الذکر نے گروپ کو بہترین آر اینڈ بی پرفارمنس کے لئے گریمی ایوارڈ حاصل کیا۔ اکتوبر 2001 میں اپنی چھٹیوں کی البم 8 ڈےز آف کرسمس جاری کرنے کے بعد ، گروپ نے سولو کیریئر کو مزید آگے بڑھانے کے لئے وقفے کا اعلان کیا۔","""چارلی کے فرشتوں"" بینڈ کے ارکان سے کون سا سنگل پیش کیا؟",False,انڈپینڈنٹ ویمن پارٹ I,23
56bf91c6a10cfb140055117f,بیونسے,نومبر 2003 میں ، اس نے یورپ میں خطرناک طور پر محبت کے دورے کا آغاز کیا اور بعد میں شمالی امریکہ میں ویریزون لیڈیز فرسٹ ٹور کے لئے مسسی ایلیٹ اور الیشیا کیز کے ساتھ ٹور کیا۔ 1 فروری ، 2004 کو ، بیونسے نے ہیوسٹن ، ٹیکساس کے ریلینٹ اسٹیڈیم میں سپر باؤل XXXVIII میں امریکی قومی ترانہ پیش کیا۔ خطرناک طور پر محبت کی رہائی کے بعد ، بیونسے نے بقیہ پٹریوں میں سے کئی کا استعمال کرتے ہوئے ایک فالو اپ البم تیار کرنے کا منصوبہ بنایا تھا۔ تاہم ، اس کو روک دیا گیا تاکہ وہ ڈسٹنی چائلڈ کے آخری اسٹوڈیو البم ، ڈسٹنی فل فلڈ کی ریکارڈنگ پر توجہ مرکوز کرسکے۔ 15 نومبر ، 2004 کو امریکہ میں جاری کیا گیا اور بل بورڈ 200 پر دوسرے نمبر پر پہنچ گیا ، ڈسٹنی فلڈ میں سنگلز لوز مائی سانس اور سپاہی شامل تھے ، جو بل بورڈ ہاٹ 100 چارٹ پر سب سے اوپر پانچ میں پہنچ گئے۔ ڈسٹنی چائلڈ نے ایک عالمی کنسرٹ ٹور ، ڈسٹنی فلڈڈ... اور لوون یہ شروع کیا اور اپنے یورپی ٹور کے آخری اسٹاپ کے دوران ، 11 جون ، 2005 کو بارسلونا میں ، رولینڈ نے اعلان کیا کہ ڈسٹنی چائلڈ شمالی امریکہ کے ٹور کے بعد تحلیل ہوجائے گا۔ گروپ نے اپنا پہلا تالیف البم نمبر 1 25 اکتوبر ، 2005 کو امریکہ میں جاری کیا اور مارچ 2006 میں ہالی ووڈ واک آف فیم پر ایک ستارہ قبول کیا۔,کس سال بیونسی نے یورپ کے اپنے خطرناک طور پر محبت کے دورے کا آغاز کیا؟,False,نومبر 2003,0
56d4baf92ccc5a1400d8317e,بیونسے,نومبر 2003 میں ، اس نے یورپ میں خطرناک طور پر محبت کے دورے کا آغاز کیا اور بعد میں مسسی ایلیٹ اور الیشیا کیز کے ساتھ شمالی امریکہ میں ویریزون لیڈیز فرسٹ ٹور کے لئے ٹور کیا۔ 1 فروری 2004 کو ، بیونسے نے ہیوسٹن ، ٹیکساس کے ریلینٹ اسٹیڈیم میں سپر باؤل XXXVIII میں امریکی قومی ترانہ پیش کیا۔ خطرناک طور پر محبت میں ریلیز کے بعد ، بیونسے نے بائیں بازو کے کئی پٹریوں کا استعمال کرتے ہوئے ایک فالو اپ البم تیار کرنے کا منصوبہ بنایا تھا۔ تاہم ، اس کو روک دیا گیا تاکہ وہ ڈسٹنی چائلڈ کے آخری اسٹوڈیو البم ، ڈسٹنی فل فلڈ کی ریکارڈنگ پر توجہ مرکوز کرسکے۔ 15 نومبر ، 2004 کو امریکہ میں جاری کیا گیا اور بل بورڈ 200 پر دوسرے نمبر پر پہنچ گیا ، ڈسٹنی فلڈ میں سنگلز لوز مائی سانس اور سپاہی شامل تھے ، جو بل بورڈ ہاٹ 100 چارٹ پر سب سے اوپر پانچ میں پہنچ گئے۔ ڈسٹنی چائلڈ نے ایک عالمی کنسرٹ ٹور ، ڈسٹنی فلڈڈ... اور لوون یہ شروع کیا اور اپنے یورپی ٹور کے آخری اسٹاپ کے دوران ، 11 جون ، 2005 کو بارسلونا میں ، رولینڈ نے اعلان کیا کہ ڈسٹنی چائلڈ شمالی امریکہ کے ٹور کے بعد تحلیل ہوجائے گا۔ گروپ نے اپنا پہلا تالیف البم نمبر 1 25 اکتوبر ، 2005 کو امریکہ میں جاری کیا اور مارچ 2006 میں ہالی ووڈ واک آف فیم پر ایک ستارہ قبول کیا۔,1 فروری 2004 کو بیونسی نے کس اہم تقریب میں پرفارم کیا؟,False,سپر باؤل XXXVIII,239
56be95823aeaaa14008c910f,بیونسے,4 اپریل 2008 کو ، بیونسے نے جے زی سے شادی کی۔ اس نے 22 اکتوبر 2008 کو مین ہیٹن کے سونی کلب میں اپنے تیسرے اسٹوڈیو البم ، آئی ایم... ساشا فیئرس کے لئے سننے والی پارٹی میں ایک ویڈیو مونٹیج میں عوامی طور پر اپنی شادی کا انکشاف کیا۔ آئی ایم... ساشا فیئرس 18 نومبر 2008 کو ریاستہائے متحدہ میں جاری کیا گیا تھا۔ اس البم میں باضابطہ طور پر بیونسے کی الٹر ایگو ساشا فیئرس کا تعارف کرایا گیا ، جس کا تصور اس کے 2003 کے سنگل کریزی ان محبت کے دوران کیا گیا تھا ، جس نے اپنے پہلے ہفتے میں 482،000 کاپیاں فروخت کیں ، بل بورڈ 200 میں پہلی بار ، اور بیونسے کو امریکہ میں مسلسل تیسرا نمبر ون البم دیا۔ اس البم میں نمبر ایک گانا سنگل لیڈیز (اس پر ایک انگوٹی لگائیں) اور ٹاپ فائیو گانوں اگر میں لڑکا تھا اور ہیلو شامل تھے۔ اپنے کیریئر میں اس کا سب سے طویل چلنے والا ہاٹ 100 سنگل بننے کی کامیابی حاصل کرتے ہوئے ، امریکہ میں ہیلو کی کامیابی نے بیونسی کو 2000 کی دہائی کے دوران کسی بھی دوسری عورت کے مقابلے میں فہرست میں سب سے زیادہ ٹاپ ٹین سنگلز حاصل کرنے میں مدد کی۔ اس میں کامیاب سویٹ ڈریمز ، اور سنگلز دیوا ، ایگو ، ٹوٹے ہوئے دل والی لڑکی اور ویڈیو فون بھی شامل تھے۔ سنگل لیڈیز کے میوزک ویڈیو کو دنیا بھر میں پیروڈی اور تقلید کیا گیا ہے ، جس سے ٹورنٹو اسٹار کے مطابق انٹرنیٹ دور کا پہلا بڑا ڈانس جنون پیدا ہوا۔ ویڈیو نے متعدد ایوارڈز جیت لئے ہیں ، جن میں 2009 کے ایم ٹی وی یورپ میوزک ایوارڈز ، 2009 کے ایم او بی او ایوارڈز ، اور 2009 کے بی ٹی ایوارڈز شامل ہیں۔ 2009 کے ایم ٹی وی میوزک ویڈیو ایوارڈز میں ، ویڈیو کو نو ایوارڈز کے لئے نامزد کیا گیا تھا ، جس میں بالآخر تین سال کا بہترین ویڈیو جیتا۔ اس کی بہترین خاتون ویڈیو کیٹیگری جیتنے میں ناکامی ، جو امریکی کنٹری پاپ گلوکارہ ٹیلر سوئفٹ کے ساتھ آپ کا تعلق ہے ، کی وجہ سے کینے ویسٹ نے تقریب میں رکاوٹ ڈالی اور بیونسی نے اپنی قبولیت کی تقریر کے دوران سوئفٹ کے ایوارڈ کی دوبارہ پیش کش کی۔ مارچ 2009 میں ، بیونسی نے آئی ایم... ورلڈ ٹور ، اپنا دوسرا ہیڈ لائننگ عالمی کنسرٹ ٹور شروع کیا ، جس میں 108 شوز شامل تھے ، جس نے 119.5 ملین ڈالر کی کمائی کی۔,کون سا گلوکار بہترین ویڈیو پرفارمنس کے لئے بیونس کو شکست دی؟,False,ٹیلر سوئفٹ,1559
